id;image;image_content_type;set_up_date
1;../fake-data/blob/hipster.png;image/png;2019-12-16T13:24:30
2;../fake-data/blob/hipster.png;image/png;2019-12-16T12:32:54
3;../fake-data/blob/hipster.png;image/png;2019-12-15T14:37:29
4;../fake-data/blob/hipster.png;image/png;2019-12-15T20:34:28
5;../fake-data/blob/hipster.png;image/png;2019-12-15T17:55:26
6;../fake-data/blob/hipster.png;image/png;2019-12-15T15:22:38
7;../fake-data/blob/hipster.png;image/png;2019-12-16T08:48:23
8;../fake-data/blob/hipster.png;image/png;2019-12-16T13:53:01
9;../fake-data/blob/hipster.png;image/png;2019-12-16T09:32:19
10;../fake-data/blob/hipster.png;image/png;2019-12-15T14:05:22
